WMT,WAL MART STORES INC,Consumer Non-Cyclicals
XOM,EXXON MOBIL CORP,Energy
MCK,MCKESSON CORP,Consumer Non-Cyclicals
UNH,UNITEDHEALTH GROUP INC,Healthcare
CVS,CVS HEALTH CORP,Consumer Non-Cyclicals
GM,GENERAL MOTORS CO,Consumer Cyclicals
F,FORD MOTOR CO,Consumer Cyclicals
T,AT&T INC.,Telecommunication Services
GE,GENERAL ELECTRIC CO,Industrials
ABC,AMERISOURCEBERGEN CORP,Consumer Non-Cyclicals
VZ,VERIZON COMMUNICATIONS INC,Telecommunication Services
CVX,CHEVRON CORP,Energy
COST,COSTCO WHOLESALE CORP ,Consumer Cyclicals
FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,Financials
KR,KROGER CO,Consumer Non-Cyclicals
AMZN,AMAZON COM INC,Consumer Cyclicals
HPQ,HP INC,Technology
CAH,CARDINAL HEALTH INC,Consumer Non-Cyclicals
ESRX,EXPRESS SCRIPTS HOLDING CO.,Consumer Non-Cyclicals
JPM,JPMORGAN CHASE & CO,Financials
BA,BOEING CO,Industrials
MSFT,MICROSOFT CORP,Technology
BAC,BANK OF AMERICA CORP ,Financials
WFC,WELLS FARGO & COMPANY,Financials
HD,HOME DEPOT INC,Consumer Cyclicals
C,CITIGROUP INC,Financials
PSX,PHILLIPS 66,Energy
IBM,INTERNATIONAL BUSINESS MACHINES CORP,Technology
VLO,VALERO ENERGY CORP,Energy
ANTM,ANTHEM INC.,Healthcare
PG,PROCTER & GAMBLE CO,Consumer Non-Cyclicals
GOOGL,ALPHABET INC.,Technology
CMCSA,COMCAST CORP,Consumer Cyclicals
TGT,TARGET CORP,Consumer Cyclicals
JNJ,JOHNSON & JOHNSON,Healthcare
MET,METLIFE INC,Financials
ADM,ARCHER DANIELS MIDLAND CO,Consumer Non-Cyclicals
MPC,MARATHON PETROLEUM CORP,Energy
FMCC,FEDERAL HOME LOAN MORTGAGE CORP,Financials
PEP,PEPSICO INC,Consumer Non-Cyclicals
UTX,UNITED TECHNOLOGIES CORP ,Industrials
AET,AETNA INC ,Healthcare
LOW,LOWES COMPANIES INC,Consumer Cyclicals
UPS,UNITED PARCEL SERVICE INC,Industrials
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials
PRU,PRUDENTIAL FINANCIAL INC,Financials
INTC,INTEL CORP,Technology
HUM,HUMANA INC,Healthcare
DIS,WALT DISNEY CO,Consumer Cyclicals
CSCO,CISCO SYSTEMS INC.,Technology
PFE,PFIZER INC,Healthcare
DOW,DOW CHEMICAL CO ,Basic Materials
SYY,SYSCO CORP,Consumer Non-Cyclicals
FDX,FEDEX CORP,Industrials
CAT,CATERPILLAR INC,Industrials
LMT,LOCKHEED MARTIN CORP,Industrials
KO,COCA COLA CO,Consumer Non-Cyclicals
HCA,HCA HEALTHCARE INC.,Healthcare
ETE,ENERGY TRANSFER EQUITY L.P.,Energy
TSN,TYSON FOODS INC,Consumer Non-Cyclicals
AAL,AMERICAN AIRLINES GROUP INC.,Industrials
DAL,DELTA AIR LINES INC ,Industrials
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Consumer Cyclicals
BBY,BEST BUY CO INC,Consumer Cyclicals
MRK,MERCK & CO. INC.,Healthcare
GS,GOLDMAN SACHS GROUP INC,Financials
HON,HONEYWELL INTERNATIONAL INC,Industrials
ORCL,ORACLE CORP,Technology
MS,MORGAN STANLEY,Financials
CI,CIGNA CORP,Healthcare
UAL,UNITED CONTINENTAL HOLDINGS INC.,Industrials
ALL,ALLSTATE CORP,Financials
INTL,INTL FCSTONE INC.,Financials
CHS,CHICOS FAS INC,Consumer Cyclicals
AXP,AMERICAN EXPRESS CO,Financials
GILD,GILEAD SCIENCES INC,Healthcare
GD,GENERAL DYNAMICS CORP,Industrials
TJX,TJX COMPANIES INC ,Consumer Cyclicals
COP,CONOCOPHILLIPS,Energy
NKE,NIKE INC,Consumer Cyclicals
INT,WORLD FUEL SERVICES CORP,Energy
MMM,3M CO,Industrials
MDLZ,MONDELEZ INTERNATIONAL INC.,Consumer Non-Cyclicals
EXC,EXELON CORP,Utilities
FOXA,TWENTY-FIRST CENTURY FOX INC.,Consumer Cyclicals
DE,DEERE & CO,Industrials
TSO,TESORO CORP ,Energy
TWX,TIME WARNER INC.,Consumer Cyclicals
DD,DUPONT E I DE NEMOURS & CO,Industrials
AVT,AVNET INC,Technology
M,MACY'S INC.,Consumer Cyclicals
EPD,ENTERPRISE PRODUCTS PARTNERS L P,Energy
TRV,TRAVELERS COMPANIES INC.,Financials
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Non-Cyclicals
RAD,RITE AID CORP,Consumer Non-Cyclicals
TECD,TECH DATA CORP,Consumer Cyclicals
MCD,MCDONALDS CORP,Consumer Cyclicals
QCOM,QUALCOMM INC,Technology
SHLD,SEARS HOLDINGS CORP,Consumer Cyclicals
COF,CAPITAL ONE FINANCIAL CORP,Financials
DUK,DUKE ENERGY CORP,Utilities
HAL,HALLIBURTON CO,Energy
NOC,NORTHROP GRUMMAN CORP ,Industrials
ARW,ARROW ELECTRONICS INC,Technology
RTN,RAYTHEON CO,Industrials
PAGP,PLAINS GP HOLDINGS LP,Energy
ABBV,ABBVIE INC.,Healthcare
CNC,CENTENE CORP,Healthcare
CYH,COMMUNITY HEALTH SYSTEMS INC,Healthcare
ARNC,ARCONIC INC.,Basic Materials
IP,INTERNATIONAL PAPER CO ,Basic Materials
EMR,EMERSON ELECTRIC CO,Industrials
UNP,UNION PACIFIC CORP,Industrials
AMGN,AMGEN INC,Healthcare
USB,US BANCORP CO,Financials
SPLS,STAPLES INC,Consumer Cyclicals
DHR,DANAHER CORP ,Healthcare
WHR,WHIRLPOOL CORP ,Consumer Cyclicals
AFL,AFLAC INC,Financials
AN,AUTONATION INC.,Consumer Cyclicals
PGR,PROGRESSIVE CORP,Financials
ABT,ABBOTT LABORATORIES,Healthcare
DG,DOLLAR GENERAL CORP,Consumer Cyclicals
THC,TENET HEALTHCARE CORP,Healthcare
LLY,LILLY ELI & CO,Healthcare
LUV,SOUTHWEST AIRLINES CO,Industrials
PAG,PENSKE AUTOMOTIVE GROUP INC.,Consumer Cyclicals
MAN,MANPOWERGROUP INC.,Industrials
KSS,KOHLS CORP,Consumer Cyclicals
SBUX,STARBUCKS CORP,Consumer Cyclicals
PCAR,PACCAR INC,Industrials
CMI,CUMMINS INC,Consumer Cyclicals
MO,ALTRIA GROUP INC.,Consumer Non-Cyclicals
XRX,XEROX CORP,Industrials
KMB,KIMBERLY CLARK CORP,Consumer Non-Cyclicals
HIG,HARTFORD FINANCIAL SERVICES GROUP INC,Financials
KHC,KRAFT HEINZ CO,Consumer Non-Cyclicals
LEA,LEAR CORP,Consumer Cyclicals
FLR,FLUOR CORP,Industrials
ACM,AECOM,Industrials
FB,FACEBOOK INC,Technology
JBL,JABIL CIRCUIT INC,Technology
CTL,CENTURYLINK INC,Telecommunication Services
SVU,SUPERVALU INC,Consumer Non-Cyclicals
GIS,GENERAL MILLS INC,Consumer Non-Cyclicals
SO,SOUTHERN CO,Utilities
NEE,NEXTERA ENERGY INC,Utilities
TMO,THERMO FISHER SCIENTIFIC INC.,Healthcare
AEP,AMERICAN ELECTRIC POWER CO INC,Utilities
PCG,PG&E CORP,Utilities
NGL,NGL ENERGY PARTNERS LP,Energy
BMY,BRISTOL MYERS SQUIBB CO,Healthcare
G,GENPACT LTD,Industrials
NUE,NUCOR CORP,Basic Materials
PNC,PNC FINANCIAL SERVICES GROUP INC.,Financials
MU,MICRON TECHNOLOGY INC,Technology
CL,COLGATE PALMOLIVE CO,Consumer Non-Cyclicals
FCX,FREEPORT-MCMORAN INC,Basic Materials
CAG,CONAGRA BRANDS INC.,Consumer Non-Cyclicals
GPS,GAP INC,Consumer Cyclicals
BHI,BAKER HUGHES INC,Energy
BK,BANK OF NEW YORK MELLON CORP,Financials
DLTR,DOLLAR TREE INC,Consumer Cyclicals
WFM,WHOLE FOODS MARKET INC,Consumer Non-Cyclicals
PPG,PPG INDUSTRIES INC,Basic Materials
GPC,GENUINE PARTS CO,Consumer Cyclicals
IEP,ICAHN ENTERPRISES L.P.,Industrials
PFGC,PERFORMANCE FOOD GROUP CO,Consumer Non-Cyclicals
OMC,OMNICOM GROUP INC.,Consumer Cyclicals
DISH,DISH NETWORK CORP,Consumer Cyclicals
FE,FIRSTENERGY CORP,Utilities
MON,MONSANTO CO ,Basic Materials
AES,AES CORP,Utilities
KMX,CARMAX INC,Consumer Cyclicals
NRG,NRG ENERGY INC.,Utilities
WDC,WESTERN DIGITAL CORP,Technology
MAR,MARRIOTT INTERNATIONAL INC ,Consumer Cyclicals
ODP,OFFICE DEPOT INC,Consumer Cyclicals
JWN,NORDSTROM INC,Consumer Cyclicals
KMI,KINDER MORGAN INC.,Energy
ARMK,ARAMARK,Consumer Cyclicals
DVA,DAVITA INC.,Healthcare
MOH,MOLINA HEALTHCARE INC,Healthcare
WCG,WELLCARE HEALTH PLANS INC.,Healthcare
CBS,CBS CORP,Consumer Cyclicals
V,VISA INC.,Technology
LNC,LINCOLN NATIONAL CORP,Financials
ECL,ECOLAB INC.,Basic Materials
K,KELLOGG CO,Consumer Non-Cyclicals
CHRW,C H ROBINSON WORLDWIDE INC,Industrials
TXT,TEXTRON INC,Industrials
L,LOEWS CORP,Financials
ITW,ILLINOIS TOOL WORKS INC,Industrials
SNX,SYNNEX CORP,Technology
HFC,HOLLYFRONTIER CORP,Energy
LAKE,LAKELAND INDUSTRIES INC,Consumer Cyclicals
DVN,DEVON ENERGY CORP,Energy
PBF,PBF ENERGY INC.,Energy
YUM,YUM BRANDS INC,Consumer Cyclicals
TXN,TEXAS INSTRUMENTS INC,Technology
CDW,CDW CORP,Technology
WM,WASTE MANAGEMENT INC,Industrials
MMC,MARSH & MCLENNAN COMPANIES INC.,Financials
CHK,CHESAPEAKE ENERGY CORP,Energy
PH,PARKER HANNIFIN CORP,Industrials
OXY,OCCIDENTAL PETROLEUM CORP ,Energy
JCP,J C PENNEY CO INC,Consumer Cyclicals
ED,CONSOLIDATED EDISON INC,Utilities
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,Technology
VFC,V F CORP,Consumer Cyclicals
AMP,AMERIPRISE FINANCIAL INC,Financials
LB,L BRANDS INC.,Consumer Cyclicals
JEC,JACOBS ENGINEERING GROUP INC ,Industrials
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials
ROST,ROSS STORES INC,Consumer Cyclicals
BBBY,BED BATH & BEYOND INC,Consumer Cyclicals
CSX,CSX CORP,Industrials
LVS,LAS VEGAS SANDS CORP,Consumer Cyclicals
LUK,LEUCADIA NATIONAL CORP,Financials
D,DOMINION ENERGY INC ,Utilities
X,UNITED STATES STEEL CORP,Basic Materials
LLL,L3 TECHNOLOGIES INC.,Industrials
EIX,EDISON INTERNATIONAL,Utilities
ADP,AUTOMATIC DATA PROCESSING INC,Technology
FDC,FIRST DATA CORP,Industrials
BLK,BLACKROCK INC.,Financials
WRK,WESTROCK CO,Basic Materials
VOYA,VOYA FINANCIAL INC.,Financials
SHW,SHERWIN WILLIAMS CO,Basic Materials
HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Cyclicals
RRD,RR DONNELLEY & SONS CO,Industrials
SWK,STANLEY BLACK & DECKER INC.,Industrials
XEL,XCEL ENERGY INC,Utilities
MUSA,MURPHY USA INC.,Energy
CBG,CBRE GROUP INC.,Financials
DHI,HORTON D R INC ,Consumer Cyclicals
EL,ESTEE LAUDER COMPANIES INC,Consumer Non-Cyclicals
PX,PRAXAIR INC,Basic Materials
BIIB,BIOGEN INC.,Healthcare
STT,STATE STREET CORP,Financials
UNM,UNUM GROUP,Financials
RAI,REYNOLDS AMERICAN INC,Consumer Non-Cyclicals
GPI,GROUP 1 AUTOMOTIVE INC,Consumer Cyclicals
HSIC,HENRY SCHEIN INC,Healthcare
HRI,HERC HOLDINGS INC,Industrials
NSC,NORFOLK SOUTHERN CORP,Industrials
RGA,REINSURANCE GROUP OF AMERICA INC,Financials
PEG,PUBLIC SERVICE ENTERPRISE GROUP INC,Utilities
BBT,BB&T CORP,Financials
DTE,DTE ENERGY CO,Utilities
AIZ,ASSURANT INC,Financials
GLP,GLOBAL PARTNERS LP,Energy
HUN,HUNTSMAN CORP,Basic Materials
BDX,BECTON DICKINSON & CO,Healthcare
SRE,SEMPRA ENERGY,Utilities
AZO,AUTOZONE INC,Consumer Cyclicals
NAV,NAVISTAR INTERNATIONAL CORP,Industrials
DFS,DISCOVER FINANCIAL SERVICES,Financials
QVCA,LIBERTY INTERACTIVE CORP,Consumer Cyclicals
GWW,GRAINGER W W INC,Industrials
BAX,BAXTER INTERNATIONAL INC,Healthcare
SYK,STRYKER CORP,Healthcare
APD,AIR PRODUCTS & CHEMICALS INC ,Basic Materials
WNR,WESTERN REFINING INC.,Energy
UHS,UNIVERSAL HEALTH SERVICES INC,Healthcare
OMI,OWENS & MINOR INC,Healthcare
CHTR,CHARTER COMMUNICATIONS INC. ,Consumer Cyclicals
AAP,ADVANCE AUTO PARTS INC,Consumer Cyclicals
MA,MASTERCARD INC,Technology
AMAT,APPLIED MATERIALS INC ,Technology
EMN,EASTMAN CHEMICAL CO,Basic Materials
SAH,SONIC AUTOMOTIVE INC,Consumer Cyclicals
ALLY,ALLY FINANCIAL INC.,Financials
CST,CST BRANDS INC.,Energy
EBAY,EBAY INC,Technology
LEN,LENNAR CORP ,Consumer Cyclicals
GME,GAMESTOP CORP.,Consumer Cyclicals
RS,RELIANCE STEEL & ALUMINUM CO,Basic Materials
HRL,HORMEL FOODS CORP ,Consumer Non-Cyclicals
CELG,CELGENE CORP ,Healthcare
GNW,GENWORTH FINANCIAL INC,Financials
PYPL,PAYPAL HOLDINGS INC.,Technology
PCLN,PRICELINE GROUP INC.,Consumer Cyclicals
MGM,MGM RESORTS INTERNATIONAL,Consumer Cyclicals
ALV,AUTOLIV INC,Consumer Cyclicals
FNF,FIDELITY NATIONAL FINANCIAL INC.,Financials
RSG,REPUBLIC SERVICES INC.,Industrials
GLW,CORNING INC ,Technology
UNVR,UNIVAR INC.,Basic Materials
MOS,MOSAIC CO,Basic Materials
CORE,CORE-MARK HOLDING COMPANY INC.,Industrials
HDS,HD SUPPLY HOLDINGS INC.,Industrials
CCK,CROWN HOLDINGS INC,Basic Materials
EOG,EOG RESOURCES INC,Energy
VRTV,VERITIV CORP,Basic Materials
APC,ANADARKO PETROLEUM CORP,Energy
LH,LABORATORY CORP OF AMERICA HOLDINGS,Healthcare
STI,SUNTRUST BANKS INC,Financials
CAR,AVIS BUDGET GROUP INC.,Industrials
LVLT,LEVEL 3 COMMUNICATIONS INC,Telecommunication Services
TEN,TENNECO INC,Consumer Cyclicals
UNFI,UNITED NATURAL FOODS INC,Consumer Non-Cyclicals
DF,DEAN FOODS CO,Consumer Non-Cyclicals
CPB,CAMPBELL SOUP CO,Consumer Non-Cyclicals
MHK,MOHAWK INDUSTRIES INC,Consumer Cyclicals
BWA,BORGWARNER INC,Consumer Cyclicals
PVH,PVH CORP. ,Consumer Cyclicals
BLL,BALL CORP,Basic Materials
ORLY,O REILLY AUTOMOTIVE INC,Consumer Cyclicals
ES,EVERSOURCE ENERGY,Utilities
BEN,FRANKLIN RESOURCES INC,Financials
MAS,MASCO CORP ,Consumer Cyclicals
LAD,LITHIA MOTORS INC,Consumer Cyclicals
KKR,KKR & CO. L.P.,Financials
OKE,ONEOK INC ,Energy
NEM,NEWMONT MINING CORP ,Basic Materials
PPL,PPL CORP,Utilities
SPTN,SPARTANNASH CO,Consumer Non-Cyclicals
PWR,QUANTA SERVICES INC,Industrials
XPO,XPO LOGISTICS INC.,Industrials
RL,RALPH LAUREN CORP,Consumer Cyclicals
IPG,INTERPUBLIC GROUP OF COMPANIES INC.,Consumer Cyclicals
STLD,STEEL DYNAMICS INC,Basic Materials
WCC,WESCO INTERNATIONAL INC,Industrials
DGX,QUEST DIAGNOSTICS INC,Healthcare
BSX,BOSTON SCIENTIFIC CORP,Healthcare
AGCO,AGCO CORP ,Industrials
FL,FOOT LOCKER INC.,Consumer Cyclicals
HSY,HERSHEY CO,Consumer Non-Cyclicals
CNP,CENTERPOINT ENERGY INC,Utilities
WMB,WILLIAMS COMPANIES INC,Energy
DKS,DICKS SPORTING GOODS INC,Consumer Cyclicals
LYV,LIVE NATION ENTERTAINMENT INC.,Consumer Cyclicals
WRB,BERKLEY W R CORP,Financials
LKQ,LKQ CORP,Consumer Cyclicals
AVP,AVON PRODUCTS INC,Consumer Non-Cyclicals
DRI,DARDEN RESTAURANTS INC,Consumer Cyclicals
KND,KINDRED HEALTHCARE INC,Healthcare
WY,WEYERHAEUSER CO,Financials
CASY,CASEYS GENERAL STORES INC,Consumer Non-Cyclicals
SEE,SEALED AIR CORP,Basic Materials
FITB,FIFTH THIRD BANCORP,Financials
DOV,DOVER CORP,Industrials
HII,HUNTINGTON INGALLS INDUSTRIES INC.,Industrials
NFLX,NETFLIX INC,Technology
DDS,DILLARD'S INC.,Consumer Cyclicals
EME,EMCOR GROUP INC,Industrials
JONE,JONES ENERGY INC.,Energy
AKS,AK STEEL HOLDING CORP,Basic Materials
UGI,UGI CORP ,Utilities
EXPE,EXPEDIA INC.,Consumer Cyclicals
CRM,SALESFORCE COM INC,Technology
TRGP,TARGA RESOURCES CORP.,Energy
APA,APACHE CORP,Energy
SPR,SPIRIT AEROSYSTEMS HOLDINGS INC.,Industrials
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,Industrials
AXE,ANIXTER INTERNATIONAL INC,Industrials
FIS,FIDELITY NATIONAL INFORMATION SERVICES INC.,Financials
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Cyclicals
HES,HESS CORP,Energy
R,RYDER SYSTEM INC,Industrials
TEX,TEREX CORP,Industrials
SYMC,SYMANTEC CORP,Technology
SCHW,SCHWAB CHARLES CORP,Financials
CPN,CALPINE CORP,Utilities
CMS,CMS ENERGY CORP,Utilities
ADS,ALLIANCE DATA SYSTEMS CORP,Industrials
JBLU,JETBLUE AIRWAYS CORP,Industrials
DISCA,DISCOVERY COMMUNICATIONS INC.,Consumer Cyclicals
TRN,TRINITY INDUSTRIES INC,Industrials
SANM,SANMINA CORP,Technology
NCR,NCR CORP,Technology
FTI,TECHNIPFMC PLC,Energy
ERIE,ERIE INDEMNITY CO,Financials
ROK,ROCKWELL AUTOMATION INC,Industrials
DPS,DR PEPPER SNAPPLE GROUP INC.,Consumer Non-Cyclicals
IHRT,IHEARTMEDIA INC.,Consumer Cyclicals
TSCO,TRACTOR SUPPLY CO ,Consumer Cyclicals
JBHT,HUNT J B TRANSPORT SERVICES INC,Industrials
CMC,COMMERCIAL METALS CO,Basic Materials
OI,OWENS ILLINOIS INC ,Basic Materials
AFG,AMERICAN FINANCIAL GROUP INC,Financials
NTAP,NETAPP INC.,Technology
OSK,OSHKOSH CORP,Industrials
AEE,AMEREN CORP,Utilities
AMRK,A-MARK PRECIOUS METALS INC.,Basic Materials
BKS,BARNES & NOBLE INC,Consumer Cyclicals
DAN,DANA INC,Consumer Cyclicals
STZ,CONSTELLATION BRANDS INC.,Consumer Non-Cyclicals
LPNT,LIFEPOINT HEALTH INC.,Healthcare
ZBH,ZIMMER BIOMET HOLDINGS INC.,Healthcare
HOG,HARLEY DAVIDSON INC,Consumer Cyclicals
PHM,PULTEGROUP INC,Consumer Cyclicals
NWL,NEWELL BRANDS INC,Consumer Cyclicals
AVY,AVERY DENNISON CORP,Basic Materials
JLL,JONES LANG LASALLE INC,Financials
WEC,WEC ENERGY GROUP INC.,Utilities
MRO,MARATHON OIL CORP,Energy
TA,TRAVELCENTERS OF AMERICA LLC,Energy
URI,UNITED RENTALS INC ,Industrials
HRG,HRG GROUP INC.,Consumer Cyclicals
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financials
WIN,WINDSTREAM HOLDINGS INC.,Telecommunication Services
DK,DELEK US HOLDINGS INC.,Energy
PKG,PACKAGING CORP OF AMERICA,Basic Materials
Q,QUINTILES IMS HOLDINGS INC.,Healthcare
HBI,HANESBRANDS INC.,Consumer Cyclicals
RLGY,REALOGY HOLDINGS CORP.,Financials
MAT,MATTEL INC ,Consumer Cyclicals
MSI,MOTOROLA SOLUTIONS INC.,Technology
SJM,J M SMUCKER CO,Consumer Non-Cyclicals
RF,REGIONS FINANCIAL CORP,Financials
CE,CELANESE CORP,Basic Materials
CLX,CLOROX CO ,Consumer Non-Cyclicals
INGR,INGREDION INC,Consumer Non-Cyclicals
GEN,GENESIS HEALTHCARE INC.,Healthcare
BTU,PEABODY ENERGY CORP,Energy
ALK,ALASKA AIR GROUP INC.,Industrials
SEB,SEABOARD CORP ,Consumer Non-Cyclicals
FTR,FRONTIER COMMUNICATIONS CORP,Telecommunication Services
APH,AMPHENOL CORP ,Technology
WYN,WYNDHAM WORLDWIDE CORP,Consumer Cyclicals
KELYA,KELLY SERVICES INC,Industrials
WU,WESTERN UNION CO,Industrials
VC,VISTEON CORP,Consumer Cyclicals
AJG,GALLAGHER ARTHUR J & CO,Financials
HST,HOST HOTELS & RESORTS INC.,Financials
ASH,ASHLAND GLOBAL HOLDINGS INC,Basic Materials
NSIT,INSIGHT ENTERPRISES INC,Technology
MKL,MARKEL CORP,Financials
ESND,ESSENDANT INC,Industrials
OC,OWENS CORNING,Consumer Cyclicals
SPGI,S&P GLOBAL INC.,Industrials
RJF,RAYMOND JAMES FINANCIAL INC,Financials
NI,NISOURCE INC,Utilities
ABM,ABM INDUSTRIES INC ,Industrials
CFG,CITIZENS FINANCIAL GROUP INC,Financials
BAH,BOOZ ALLEN HAMILTON HOLDING CORP,Technology
UFS,DOMTAR CORP,Basic Materials
COL,ROCKWELL COLLINS INC,Industrials
LRCX,LAM RESEARCH CORP,Technology
FISV,FISERV INC,Industrials
SE,SPECTRA ENERGY CORP.,Energy
NAVI,NAVIENT CORP,Financials
BIG,BIG LOTS INC,Consumer Cyclicals
TDS,TELEPHONE & DATA SYSTEMS INC ,Telecommunication Services
FAF,FIRST AMERICAN FINANCIAL CORP,Financials
NVR,NVR INC,Consumer Cyclicals
CINF,CINCINNATI FINANCIAL CORP,Financials
BURL,BURLINGTON STORES INC.,Consumer Cyclicals
